match_id,team_id,count_buildup_phases,count_create_phases,count_dangerous_actions,count_direct_phases,count_events_attacking_third,count_events_lead_to_shot,count_events_penalty_area,count_events_wide_channels,count_finish_phases,count_first_line_breaks,count_forward_passes,count_high_block_phases,count_last_line_breaks,count_low_block_phases,count_medium_block_phases,count_off_ball_runs_total,count_passes_into_penalty_area,count_phases_attacking_third,count_phases_lead_to_shot,count_possession_losses,count_possession_phases,count_pressing_chain_events,count_quick_break_phases,count_runs_behind,count_runs_coming_short,count_runs_overlap,count_runs_pulling_wide,count_second_last_line_breaks,count_set_play_phases,count_transition_phases,sum_buildup_duration_s,sum_high_block_duration_s,sum_low_block_duration_s,sum_opponents_bypassed,sum_pass_distance,sum_player_possessions_in_phases,sum_possession_duration_s,sum_pressing_chain_lengths,sum_team_possession_length,sum_team_possession_width
1886347,4177,24,79,263,11,968,201,108,981,61,181,175,39,59,28,77,340,12,51,28,96,246,231,3,17,46,13,36,181,16,3,219.0,353.7,150.1,1681.0,11114.11,644.0,1786.3000000000002,983.0,13554.58,10286.48
1886347,1805,39,77,126,12,303,133,75,865,28,139,140,24,40,61,79,259,2,30,18,100,208,147,0,25,54,2,27,171,4,0,353.7,219.0,478.4,1878.0,8967.18,529.0,1391.7,590.0,10027.43,8366.119999999999
1899585,4177,16,62,260,18,892,213,107,926,52,127,161,33,17,29,80,220,17,49,23,116,223,168,3,7,19,18,22,181,9,5,149.1,280.5,237.5,1279.0,8237.32,570.0,1519.5,578.0,11862.68,8433.52
1899585,867,33,80,205,23,454,140,115,815,29,136,122,16,59,52,62,248,8,29,8,116,237,94,2,24,35,6,18,216,6,4,280.5,149.1,523.6,1944.0,7814.139999999999,531.0,1481.0,300.0,12089.32,9870.039999999997
1925299,1802,31,91,296,20,906,203,156,1019,60,238,193,40,31,33,70,265,22,41,27,114,262,130,6,7,43,10,40,264,8,0,270.9,324.1,253.40000000000003,2147.0,15230.379999999997,759.0,2144.9,422.0,14101.4,10616.279999999999
1925299,871,40,70,183,25,398,169,114,682,33,139,137,31,32,60,91,230,12,24,15,112,230,137,1,4,30,4,19,175,2,4,324.1,270.9,720.5000000000001,1670.0,7586.08,474.0,1405.6,421.0,11230.61,8139.449999999999
1953632,870,37,56,0,19,0,0,0,0,13,0,0,33,0,45,103,0,0,15,3,89,184,0,1,0,0,0,0,0,7,2,331.1,240.4,334.20000000000005,0.0,0.0,403.0,1116.3,0.0,8840.08,7755.77
1953632,2380,33,103,0,20,0,0,0,0,45,0,0,37,0,13,56,0,0,42,12,88,247,0,4,0,0,0,0,0,12,3,240.4,331.1,98.8,0.0,0.0,763.0,2189.8,0.0,12878.599999999999,10835.2
1996435,869,40,80,266,11,878,218,119,1071,48,162,202,42,50,39,74,285,18,50,41,95,229,222,1,17,35,12,12,196,12,3,347.1,345.09999999999997,289.5,2047.0,11106.02,641.0,1797.6999999999998,999.0,11812.11,9063.34
1996435,866,42,74,235,13,546,207,112,918,39,132,178,40,61,48,80,249,12,41,26,98,219,204,1,24,29,5,26,212,8,3,345.09999999999997,347.1,533.1,2185.0,8820.99,563.0,1464.7,743.0,11059.48,9463.8
2006229,2380,33,86,281,16,780,132,117,1042,53,179,191,37,62,20,72,325,14,47,26,96,239,218,1,41,50,6,34,236,9,2,301.5,315.3,153.70000000000002,2180.0,12995.050000000001,690.0,1886.6999999999998,952.0,12480.059999999998,10276.91
2006229,1804,37,72,113,18,331,73,61,838,20,226,131,33,46,53,86,185,6,13,5,97,199,202,2,11,27,6,28,249,7,3,315.3,301.5,447.0,2300.0,8437.81,481.0,1290.5000000000002,782.0,9947.710000000003,9133.970000000001
2011166,867,27,53,172,20,363,183,92,796,24,92,120,23,33,47,64,200,10,34,13,115,200,84,2,21,24,6,14,98,9,4,236.4,149.20000000000002,414.29999999999995,1505.0,5902.5199999999995,445.0,1141.9,284.0,9667.05,7370.79
2011166,868,23,64,278,18,807,275,124,862,47,78,129,27,29,24,53,237,16,50,41,114,229,118,5,11,18,10,21,120,13,5,149.20000000000002,236.4,167.4,1570.0,7952.700000000001,511.0,1562.2999999999997,360.0,12130.88,8148.379999999999
2013725,1803,36,71,254,19,458,215,72,830,20,99,164,25,35,40,72,287,5,34,20,138,235,158,11,23,43,5,25,150,7,5,384.0,191.0,317.0,2244.0,9322.669999999998,563.0,1558.1,618.0,11428.38,8484.75
2013725,869,25,72,247,21,694,146,94,1021,40,274,202,36,41,20,71,225,8,52,16,138,251,181,5,30,37,5,9,185,12,8,191.0,384.0,151.4,2427.0,9425.83,610.0,1628.5,700.0,13323.28,9848.73
2015213,1803,37,64,192,19,385,143,46,709,22,144,131,35,45,37,90,224,5,33,12,131,244,191,5,22,29,6,19,164,6,2,370.5,342.70000000000005,210.79999999999998,2084.0,7719.6900000000005,510.0,1368.2,667.0,12444.649999999998,9491.0
2015213,4177,35,90,158,26,430,155,48,955,37,233,178,37,55,22,64,306,6,31,19,133,262,134,1,15,49,7,50,226,6,5,342.70000000000005,370.5,157.9,2315.0,10317.73,609.0,1656.1,567.0,13896.59,10757.07
2017461,868,21,70,214,29,695,169,92,889,39,158,172,9,37,25,45,234,12,31,11,134,237,60,1,8,23,11,24,201,13,6,165.4,59.4,154.0,1898.0,9004.84,622.0,1723.1999999999998,192.0,11834.75,8701.87
2017461,4177,9,45,207,15,419,166,88,735,25,82,114,21,32,39,70,226,8,38,12,134,200,111,2,20,29,10,16,92,8,11,59.4,165.4,486.99999999999994,1189.0,4954.13,393.0,1101.3000000000002,399.0,10407.53,6862.59
